District,LAD_Name,Region_Code,Region_Name,D,F,S,T,Total
WIGAN,Wigan,E12000002,North West,13,3,40,34,90
WILTSHIRE,Wiltshire,E12000009,South West,64,24,50,54,192
WINCHESTER,Winchester,E12000008,South East,14,9,12,12,47
WINDSOR AND MAIDENHEAD,Windsor and Maidenhead,E12000008,South East,9,10,14,14,47
WIRRAL,Wirral,E12000002,North West,19,17,52,34,122
WOKING,Woking,E12000008,South East,11,9,9,1,30
WOKINGHAM,Wokingham,E12000008,South East,20,7,13,11,51
WOLVERHAMPTON,Wolverhampton,E12000005,West Midlands,11,3,16,9,39
WORCESTER,Worcester,E12000005,West Midlands,6,3,11,12,32
WORTHING,Worthing,E12000008,South East,8,8,7,9,32
WYCHAVON,Wychavon,E12000005,West Midlands,17,1,11,9,38
WYRE,Wyre,E12000002,North West,9,7,23,15,54
WYRE FOREST,Wyre Forest,E12000005,West Midlands,3,2,9,5,19
YORK,York,E12000003,Yorkshire and The Humber,19,3,20,17,59
